id,kind,parent,description,implemented_by,verified_by,standard_objective,phase,profile
TETHYS-ADR-0001,DEC,(root),XCP positioned as development-time protocol; flight default quiescent; service-mode authenticated unlock (parent §1; ADR-0001),docs/adr/0001-xcp-as-development-protocol.md,docs/research/phase-0-system-requirements.md §2.4,ASAM XCP 1.4 Part 1 §1; ECSS-E-ST-40C Rev.1 §4; NPR 7150.2D §3; IACS UR E22 Rev.3 §5,0,marine|space
TETHYS-ADR-0002,DEC,(root),Profile-based build system selects marine vs space behaviour at compile time via tethys_profile.h flags,docs/adr/0002-profile-based-build-system.md,slave/profiles/marine.cmake TODO(Phase-7); slave/profiles/space.cmake TODO(Phase-8),ECSS-E-ST-40C Rev.1 §5.4.2; IACS UR E22 Rev.3 §5; ISO 26262-6:2018 §7,0,marine|space
TETHYS-ADR-0003,DEC,(root),MISRA C:2023 mandatory + required as a hard merge gate; advisory deviations tracked with rationale,docs/adr/0003-misra-c-2023-as-coding-gate.md,.github/workflows/misra-gate.yml,MISRA C:2023; ISO 26262-6:2018 §5.4.4; DO-178C §6.3.4,0,marine|space
TETHYS-ADR-0004,DEC,TETHYS-ADR-0010,Transport-abstraction-layer interface exposes loss-event metadata so per-row ADR-0010 budgets are auditable,docs/adr/0004-transport-abstraction-layer.md,slave/src/transport/transport.h TODO(Phase-5),ASAM XCP 1.4 Part 3 §1; IEC 61784-3 ed.4 §6; AUTOSAR PRS E2E §4.3.3,0,marine|space
TETHYS-ADR-0005,DEC,TETHYS-ADR-0010,No dynamic allocation in the slave; buffers statically sized from ADR-0010 worst-case burst,docs/adr/0005-no-dynamic-allocation.md,.github/workflows/misra-gate.yml,ECSS-E-ST-40C Rev.1 §5.4.3.4; MISRA C:2023 Dir 4.12; ISO 26262-6:2018 §8.4.4,0,marine|space
TETHYS-ADR-0006,DEC,TETHYS-ADR-0001,AES-128 derived seed-and-key gate (mandatory space; optional marine),docs/adr/0006-aes-128-seed-and-key.md,slave/src/core/seed_and_key.c TODO(Phase-8),ASAM XCP 1.4 Part 2 §1.3.5; NIST FIPS 197; ECSS-E-ST-40C Rev.1 §5.5.2,0,space
TETHYS-ADR-0007,DEC,(root),Python master tool; MATLAB consumes via py. interface; no Vehicle Network Toolbox dependency,docs/adr/0007-python-master-not-matlab.md,master/pyproject.toml,(no standard; tooling decision),0,marine|space
TETHYS-ADR-0008,DEC,(root),License-free toolchain + MIT repo license to remove paid-tool dependency,docs/adr/0008-license-free-toolchain.md,LICENSE; master/pyproject.toml; slave/CMakeLists.txt,(no standard; tooling decision),0,marine|space
TETHYS-ADR-0009,DEC,(root),Migrate main from classic branch protection to Repository Ruleset post PR-4 stabilisation,docs/adr/0009-rulesets-migration.md,docs/runbooks/github-setup.md §4.2,(no standard; process decision),0,marine|space
TETHYS-ADR-0010,DEC,(root),Packet-loss tolerance budget — 12 per-row contract (profile × transport × direction × XCP service); SIL 2 lower-band residual,docs/adr/0010-packet-loss-tolerance-budget.md,docs/research/phase-0-system-requirements.md §6,IEC 61508-1:2010 §7; IEC 61784-3 ed.4 §6; ISO 26262-9:2018 §6,0,marine|space
TETHYS-DES-0001,DES,TETHYS-REQ-P1-001,XCP command dispatcher top-level entry point — bounded request length; static state struct; no dynamic allocation,slave/src/core/xcp_dispatcher.c,slave/tests/test/test_xcp_dispatcher.c,ASAM XCP 1.4 Part 2 §1.3.2; MISRA C:2023; ECSS-E-ST-40C Rev.1 §5.4,1,marine|space
TETHYS-DES-0002,DES,TETHYS-REQ-P1-001,CONNECT command handler — 8-byte positive response; resource availability + comm mode basic + MAX_CTO + MAX_DTO,slave/src/core/xcp_dispatcher.c,slave/tests/test/test_xcp_dispatcher.c,ASAM XCP 1.4 Part 2 §1.3.2.4,1,marine|space
TETHYS-DES-0003,DES,TETHYS-REQ-P1-001,DISCONNECT command handler — PID-only positive response; clears connected flag and session_status,slave/src/core/xcp_dispatcher.c,slave/tests/test/test_xcp_dispatcher.c,ASAM XCP 1.4 Part 2 §1.3.2.5,1,marine|space
TETHYS-DES-0004,DES,TETHYS-REQ-P1-001,GET_STATUS command handler — 6-byte response with session status + protection + state + session config id,slave/src/core/xcp_dispatcher.c,slave/tests/test/test_xcp_dispatcher.c,ASAM XCP 1.4 Part 2 §1.3.2.6,1,marine|space
