id,family,name,version,scope,applicability_marine,applicability_space,applicability_dev_bench,primary_citation_section,retrieval_date,url,notes
S1,protocol,ASAM MCD-1 XCP,1.4 (2017),XCP protocol layer + transport layer specifications,used,used,used,phase-0-system-requirements.md#41-xcp-packet-structure-refresher,2026-05-14,https://www.asam.net/standards/detail/mcd-1-xcp/wiki,Wiki public; full spec paywalled
S2,protocol,AUTOSAR SWS XCP,R20-11 (also R22-11),AUTOSAR Classic Platform XCP module specification,reference,reference,reference,phase-0-system-requirements.md#41-xcp-packet-structure-refresher,2026-05-14,https://www.autosar.org/fileadmin/standards/R20-11/CP/AUTOSAR_SWS_XCP.pdf,Document ID 412; CAN-FD added in 4.4.0
S3,protocol,Vector XCP Book,V1.5,Reference text on XCP protocol behaviour including CTR field,used,used,used,phase-0-system-requirements.md#42-the-ctr-field--xcps-only-built-in-loss-detection,2026-05-14,https://cdn.vector.com/cms/content/application-areas/ecu-calibration/xcp/XCP_Book_V1.5_EN.pdf,Confirms XCP-on-Ethernet CTR identifies packet loss
S4,protocol,pyxcp,latest,LGPLv3 reference Python XCP master implementation,used,used,used,parent-plan-section-3.1,2026-05-14,https://github.com/christoph2/pyxcp,Used for differential testing in Phase 2
S5,protocol,XCP 1.4 release-note summary,2017,Wiki summary of XCP 1.4 changes including START_STOP_SYNC,reference,reference,reference,phase-0-system-requirements.md#44-synch-and-start_stop_sync--race-window-guidance,2026-05-14,https://www.asam.net/standards/detail/mcd-1-xcp/wiki,Same source as S1
S6,functional-safety,AUTOSAR PRS E2E Protocol,R17-10 R1.2.0,End-to-end protection profiles 1-22 with Counter+CRC+DataID+Timeout,reference,reference,reference,phase-0-system-requirements.md#45-autosar-e2e-profile-mapping,2026-05-14,https://www.autosar.org/fileadmin/standards/R17-10_R1.2.0/FO/AUTOSAR_PRS_E2EProtocol.pdf,Profile 1 CP-only CRC-8 SAE J1850 0x1D
S7,functional-safety,IEC 61508,parts 1-7,Functional safety of electrical/electronic/programmable safety-related systems,referenced,referenced,referenced,phase-0-system-requirements.md#32-generic-functional-safety,2026-05-14,https://webstore.iec.ch/publication/22273,Paywalled; SIL 2 PFH 1e-7..1e-6 SIL 3 1e-8..1e-7
S8,functional-safety,IEC 61784-3 + residual-error paper,IEC 61784-3 ed.4 (2021),Safe-communication fieldbus residual-error rate; 1 percent of PFH rule,referenced,referenced,referenced,phase-0-system-requirements.md#63-derivation--how-the-residual-targets-are-justified,2026-05-14,https://easychair.org/publications/preprint/qM7d/open,Paper cites IEC 61784-3 explicitly
S9,functional-safety,ISO 26262,:2018 (12 parts),Road vehicles functional safety; ASIL classification,reference,reference,reference,phase-0-system-requirements.md#33-automotive-added-at-user-request--first-class,2026-05-14,https://www.iso.org/standard/68383.html,Paywalled; ASIL D PFH <= 1e-8/h ASIL B <= 1e-7/h; user-requested explicit inclusion
S10,space,CCSDS 232.1-B-2 (COP-1),B-2 (Sep 2010),Communications Operation Procedure-1; FARM-1 sliding window; AD and BD service,not-applicable,used,used,phase-0-system-requirements.md#56-ccsds-tc--cop-1-space-profile-production-reference,2026-05-14,https://ccsds.org/Pubs/232x1b1s.pdf,The space-link reliability layer Tethys-on-SxI sits inside
S11,marine,IACS UR E22,Rev.3 (Jun 2023),Computer-based systems on ships,used,not-applicable,reference,phase-0-system-requirements.md#36-marine,2026-05-14,https://www.classnk.or.jp/hp/pdf/info_service/iacs_ur_and_ui/ur_e22_rev.3_june_2023_ul.pdf,In force 1 Jul 2024
S12,marine,IACS UR E22 corrigendum,Rev.3 Corr.1 (Sep 2025),Corrigendum to UR E22 Rev.3,used,not-applicable,reference,phase-0-system-requirements.md#36-marine,2026-05-14,https://www.classnk.or.jp/HP/pdf/info_service/iacs_ur_and_ui/ur_e22_rev.3_corr.1_sep_2025_cln.pdf,Latest applicable version
S13,transport,IEC 61162-450 + industrial UDP refs,IEC 61162-450 ed.3 (2024),Maritime UDP Ethernet shipboard LAN; informs marine UDP DAQ row,used,not-applicable,used,phase-0-system-requirements.md#51-udp-master--posix-sim-marine-dev-bench,2026-05-14,https://webstore.iec.ch/publication/61011,Companion refs: OSADL RTT monitor + industrialmonitordirect
S14,space,CCSDS 132.0-B-3 + 130.0-G-3,B-3 (Sep 2020),TM Space Data Link Protocol + summary,not-applicable,used,reference,phase-0-system-requirements.md#56-ccsds-tc--cop-1-space-profile-production-reference,2026-05-14,https://ccsds.org/Pubs/132x0b3.pdf,Unreliable by design
S15,transport,CAN-FD spec + CiA proceedings,Bosch spec (now ISO 11898-1:2024),CAN-FD wire format; Hamming distance >= 6 for header and frame CRCs,used,used,used,phase-0-system-requirements.md#53-can-fd,2026-05-14,https://tekeye.uk/downloads/can_fd_spec.pdf,Up to 5 bit errors per frame detected; CiA Mutter 2020
S16,space,ECSS-E-ST-50C,C (2008),ESA umbrella for space communications,not-applicable,used,reference,phase-0-system-requirements.md#34-space,2026-05-14,http://everyspec.com/ESA/download.php?spec=ECSS-E-ST-50C.048171.pdf,Umbrella standard
S17,space,ECSS-E-AS-50-25C Rev.1,Rev.1 (Jan 2023),Adoption of CCSDS sync and channel coding,not-applicable,used,reference,phase-0-system-requirements.md#34-space,2026-05-14,https://ecss.nl/wp-content/uploads/2023/01/ECSS-E-AS-50-25C-Rev.1(13January2023).pdf,Adoption notice
S18,space,ECSS-E-ST-40C,Rev.1 (Apr 2025),Software general requirements,not-applicable,used,reference,phase-0-system-requirements.md#34-space,2026-05-14,https://ecss.nl/standard/ecss-e-st-40c-rev-1-software-general-requirements-2-april-2025/,Latest revision
S19,space,ECSS-Q-ST-80C + ECSS-Q-ST-60-02C,80C Rev.1 (2017); 60-02C (2008),Software product assurance + ASIC FPGA development,not-applicable,referenced,referenced,phase-0-system-requirements.md#34-space,2026-05-14,https://ecss.nl/standard/ecss-q-st-80c-rev-1-software-product-assurance-15-february-2017/,Quality and HW assurance
S20,space,NPR 7150.2D + NASA-STD-8739.8 + NASA-HDBK-2203,NPR 7150.2D (2022),NASA software engineering requirements and assurance,not-applicable,used,reference,phase-0-system-requirements.md#34-space,2026-05-14,https://nodis3.gsfc.nasa.gov/npg_img/N_PR_7150_002D_/N_PR_7150_002D_.pdf,Process anchors for the space profile
S21,marine,IACS UR E26,Rev.1 (Nov 2023),Cyber resilience of ships,used,not-applicable,reference,phase-0-system-requirements.md#36-marine,2026-05-14,https://www.classnk.or.jp/hp/pdf/info_service/iacs_ur_and_ui/ur_e26_rev.1_nov_2023_cr.pdf,Cyber-related normative reference
S22,avionics,DO-178C + DO-330,DO-178C (2011); DO-330 (2011),Software considerations in airborne systems + tool qualification,reference,referenced,reference,phase-0-system-requirements.md#35-avionics-dal-b-target-per-parent-4,2026-05-14,paywalled,DAL-B objective coverage tracked in docs/traceability.csv
S23,avionics-cyber,DO-326A / ED-202A,DO-326A (2014),Airworthiness Security Process Specification,section-only,section-only,section-only,phase-0-system-requirements.md#35-avionics-dal-b-target-per-parent-4,2026-05-14,paywalled,Deferred to Phase-8 security research note
S24,industrial-cyber,IEC 62443,parts 1-4,Industrial communication networks security for IACS,section-only,section-only,section-only,phase-0-system-requirements.md#32-generic-functional-safety,2026-05-14,https://webstore.iec.ch/publication/7029,Deferred to Phase-8 security research note
